Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Goat,6,41.6,loss of appetite,crackling sound,painful cough,CCPP
Sheep,2,40.5,foul diarrhea,sores on tongue,loss of appetite,PPR
Goat,7,41.4,shortness of breath,crackling sound,extended neck,CCPP
Cow,8,42.2,frothing at mouth,swelling in neck,swelling in limb,East Coast Fever
Sheep,4,41.6,chills,jaundice,swelling in abdomen,Rift Valley Fever
Poultry,4,43.2,chills,fatigue,greenish diarrhea,Newcastle Disease
Sheep,3,40.8,loss of appetite,matted eyes,foul diarrhea,PPR
Poultry,3,44.8,greenish diarrhea,sudden death,depression,Newcastle Disease
Cow,8,41.8,lacrimation,loss of appetite,fatigue,East Coast Fever
Goat,8,41.8,chest discomfort,fatigue,extended neck,CCPP
Goat,7,41.0,fatigue,loss of appetite,shortness of breath,CCPP
Cow,2,41.6,loss of appetite,swelling in limb,lacrimation,East Coast Fever
Cow,1,41.7,swelling in neck,swelling in limb,fatigue,East Coast Fever
Cow,3,42.0,swelling in abdomen,jaundice,chills,Rift Valley Fever
Cow,8,42.3,frothing at mouth,loss of appetite,fatigue,East Coast Fever
Cow,7,42.9,lacrimation,difficulty walking,frothing at mouth,East Coast Fever
Goat,5,42.2,extended neck,fatigue,loss of appetite,CCPP
Cow,3,42.3,lacrimation,swelling in neck,fatigue,East Coast Fever
Sheep,5,41.3,matted eyes,sores on gums,sores on tongue,PPR
Poultry,4,42.2,sudden death,fatigue,depression,Newcastle Disease
Goat,2,41.9,shortness of breath,loss of appetite,painful cough,CCPP
Sheep,1,40.5,loss of appetite,matted eyes,fatigue,PPR
Goat,1,40.7,chest discomfort,extended neck,crackling sound,CCPP
Cow,8,42.1,swelling in limb,swelling in neck,loss of appetite,East Coast Fever
Goat,6,41.8,mass abortion,blood in stool,swelling in abdomen,Rift Valley Fever
Poultry,3,44.7,difficulty walking,twisted neck,depression,Newcastle Disease
Sheep,5,41.9,fatigue,sweats,jaundice,Rift Valley Fever
Goat,1,41.2,loss of appetite,foul diarrhea,matted eyes,PPR
Poultry,3,44.0,depression,greenish diarrhea,sudden death,Newcastle Disease
Sheep,1,41.7,chills,jaundice,blood in stool,Rift Valley Fever
Poultry,3,42.6,sudden death,chills,fatigue,Newcastle Disease
Poultry,6,43.0,chills,fatigue,depression,Newcastle Disease
Poultry,7,43.9,twisted neck,greenish diarrhea,depression,Newcastle Disease
Sheep,8,40.7,jaundice,sweats,chills,Rift Valley Fever
Goat,8,42.4,crackling sound,loss of appetite,extended neck,CCPP
Goat,1,40.6,crackling sound,chest discomfort,shortness of breath,CCPP
Poultry,6,44.4,depression,greenish diarrhea,twisted neck,Newcastle Disease
Goat,6,41.8,fatigue,painful cough,crackling sound,CCPP
Goat,7,41.1,sores on gums,foul diarrhea,fatigue,PPR
Goat,1,42.1,chest discomfort,painful cough,crackling sound,CCPP
Goat,6,41.0,chest discomfort,painful cough,shortness of breath,CCPP
Cow,4,41.9,difficulty walking,loss of appetite,frothing at mouth,East Coast Fever
Sheep,6,40.7,matted eyes,loss of appetite,sores on gums,PPR
Sheep,2,41.5,sores on tongue,foul diarrhea,sores on gums,PPR
Sheep,4,42.1,blood in stool,swelling in abdomen,jaundice,Rift Valley Fever
Poultry,3,43.0,greenish diarrhea,sudden death,twisted neck,Newcastle Disease
Goat,3,42.0,crackling sound,chest discomfort,shortness of breath,CCPP
Sheep,1,41.4,sweats,blood in stool,swelling in abdomen,Rift Valley Fever
Cow,3,41.6,blood in stool,chills,jaundice,Rift Valley Fever
Goat,2,41.4,extended neck,painful cough,shortness of breath,CCPP
Sheep,4,40.8,loss of appetite,fatigue,sores on mouth,PPR
Cow,2,41.4,jaundice,fatigue,mass abortion,Rift Valley Fever
Goat,1,41.5,matted eyes,sores on tongue,sores on gums,PPR
Sheep,5,41.1,loss of appetite,sores on tongue,sores on mouth,PPR
Cow,1,42.5,fatigue,swelling in limb,swelling in neck,East Coast Fever
Goat,8,41.1,foul diarrhea,fatigue,matted eyes,PPR
Goat,7,41.6,sores on mouth,matted eyes,fatigue,PPR
Cow,2,41.7,frothing at mouth,loss of appetite,difficulty walking,East Coast Fever
Cow,4,40.9,jaundice,mass abortion,sweats,Rift Valley Fever
Cow,5,41.1,lacrimation,frothing at mouth,fatigue,East Coast Fever
Goat,8,41.0,chills,jaundice,mass abortion,Rift Valley Fever
Goat,6,42.3,fatigue,jaundice,chills,Rift Valley Fever
Goat,5,41.4,sweats,fatigue,mass abortion,Rift Valley Fever
Goat,1,41.3,crackling sound,extended neck,fatigue,CCPP
Poultry,8,43.6,twisted neck,chills,depression,Newcastle Disease
Goat,7,41.7,swelling in abdomen,fatigue,sweats,Rift Valley Fever
Cow,7,41.8,mass abortion,blood in stool,fatigue,Rift Valley Fever
Cow,2,41.3,sweats,jaundice,blood in stool,Rift Valley Fever
Cow,7,42.0,frothing at mouth,difficulty walking,swelling in limb,East Coast Fever
Poultry,5,42.5,depression,difficulty walking,sudden death,Newcastle Disease
Poultry,8,44.5,greenish diarrhea,chills,sudden death,Newcastle Disease
Cow,5,41.6,difficulty walking,swelling in neck,swelling in limb,East Coast Fever
Poultry,1,44.7,depression,twisted neck,difficulty walking,Newcastle Disease
Goat,1,41.4,chest discomfort,extended neck,shortness of breath,CCPP
Goat,4,41.9,sweats,fatigue,swelling in abdomen,Rift Valley Fever
Poultry,7,42.4,difficulty walking,depression,sudden death,Newcastle Disease
Goat,2,42.2,fatigue,sweats,jaundice,Rift Valley Fever
Cow,8,42.3,lacrimation,swelling in limb,fatigue,East Coast Fever
Goat,5,42.6,jaundice,mass abortion,swelling in abdomen,Rift Valley Fever
Poultry,3,43.3,sudden death,twisted neck,chills,Newcastle Disease
Goat,1,40.7,painful cough,fatigue,chest discomfort,CCPP
Goat,3,42.3,chest discomfort,extended neck,painful cough,CCPP
Poultry,2,44.2,depression,chills,twisted neck,Newcastle Disease
Goat,4,42.0,chest discomfort,extended neck,crackling sound,CCPP
Goat,8,42.2,loss of appetite,crackling sound,painful cough,CCPP
Poultry,3,44.0,fatigue,depression,difficulty walking,Newcastle Disease
Poultry,6,43.4,depression,fatigue,twisted neck,Newcastle Disease
Goat,8,41.7,painful cough,crackling sound,extended neck,CCPP
Goat,5,41.9,shortness of breath,fatigue,crackling sound,CCPP
Cow,1,42.0,swelling in neck,difficulty walking,loss of appetite,East Coast Fever
Goat,1,41.7,swelling in abdomen,mass abortion,blood in stool,Rift Valley Fever
Poultry,2,42.7,fatigue,twisted neck,sudden death,Newcastle Disease
Cow,3,42.0,frothing at mouth,swelling in neck,swelling in limb,East Coast Fever
Goat,6,40.3,fatigue,sores on tongue,sores on mouth,PPR
Poultry,1,43.5,greenish diarrhea,sudden death,depression,Newcastle Disease
Cow,4,41.4,fatigue,blood in stool,swelling in abdomen,Rift Valley Fever
Poultry,7,43.4,sudden death,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,8,41.6,extended neck,painful cough,loss of appetite,CCPP
Cow,7,42.6,loss of appetite,frothing at mouth,lacrimation,East Coast Fever
Cow,3,42.2,difficulty walking,swelling in neck,loss of appetite,East Coast Fever
Sheep,7,41.7,sweats,chills,jaundice,Rift Valley Fever
Goat,6,42.5,painful cough,extended neck,crackling sound,CCPP
Goat,8,41.6,extended neck,shortness of breath,painful cough,CCPP
Sheep,8,42.0,sores on mouth,loss of appetite,sores on tongue,PPR
Poultry,2,43.6,fatigue,chills,greenish diarrhea,Newcastle Disease
Goat,2,41.6,fatigue,matted eyes,sores on mouth,PPR
Cow,4,42.6,swelling in limb,frothing at mouth,swelling in neck,East Coast Fever
Sheep,5,41.3,sores on mouth,sores on gums,matted eyes,PPR
Goat,6,41.2,crackling sound,loss of appetite,fatigue,CCPP
Goat,3,40.9,sores on mouth,loss of appetite,matted eyes,PPR
Goat,5,42.0,swelling in abdomen,mass abortion,blood in stool,Rift Valley Fever
Poultry,1,44.5,difficulty walking,sudden death,twisted neck,Newcastle Disease
Goat,5,42.2,crackling sound,shortness of breath,extended neck,CCPP
Sheep,7,41.6,blood in stool,fatigue,mass abortion,Rift Valley Fever
Goat,4,41.2,loss of appetite,crackling sound,fatigue,CCPP
Poultry,8,42.6,fatigue,greenish diarrhea,depression,Newcastle Disease
Sheep,4,42.0,jaundice,sweats,fatigue,Rift Valley Fever
Goat,4,41.2,crackling sound,shortness of breath,chest discomfort,CCPP
Cow,5,41.9,swelling in limb,lacrimation,difficulty walking,East Coast Fever
Sheep,4,40.5,foul diarrhea,matted eyes,sores on tongue,PPR
Goat,7,41.2,extended neck,shortness of breath,fatigue,CCPP
Goat,4,41.8,extended neck,crackling sound,fatigue,CCPP
Cow,1,42.3,difficulty walking,frothing at mouth,swelling in limb,East Coast Fever
Cow,6,41.8,loss of appetite,lacrimation,fatigue,East Coast Fever
Goat,1,41.6,fatigue,chest discomfort,painful cough,CCPP
Sheep,6,40.6,jaundice,blood in stool,mass abortion,Rift Valley Fever
Goat,3,41.4,foul diarrhea,loss of appetite,sores on tongue,PPR
Poultry,6,43.6,difficulty walking,fatigue,greenish diarrhea,Newcastle Disease
Poultry,2,43.0,difficulty walking,chills,depression,Newcastle Disease
Poultry,4,43.3,sudden death,depression,difficulty walking,Newcastle Disease
Cow,6,41.6,sweats,jaundice,swelling in abdomen,Rift Valley Fever
Goat,8,42.0,fatigue,swelling in abdomen,mass abortion,Rift Valley Fever
Goat,3,40.6,sores on gums,loss of appetite,sores on tongue,PPR
Goat,7,41.1,fatigue,extended neck,painful cough,CCPP
Cow,7,41.4,sweats,blood in stool,chills,Rift Valley Fever
Cow,2,42.9,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Poultry,4,44.6,greenish diarrhea,fatigue,difficulty walking,Newcastle Disease
Goat,6,41.5,foul diarrhea,matted eyes,fatigue,PPR
Poultry,8,42.2,depression,twisted neck,sudden death,Newcastle Disease
Poultry,8,44.3,sudden death,twisted neck,depression,Newcastle Disease
Goat,8,41.6,crackling sound,chest discomfort,fatigue,CCPP
Goat,5,40.9,painful cough,shortness of breath,crackling sound,CCPP
Poultry,5,42.8,depression,difficulty walking,fatigue,Newcastle Disease
Cow,8,41.7,lacrimation,fatigue,difficulty walking,East Coast Fever
Poultry,2,43.4,depression,sudden death,greenish diarrhea,Newcastle Disease
Goat,5,41.4,shortness of breath,painful cough,fatigue,CCPP
Cow,2,42.7,swelling in neck,lacrimation,loss of appetite,East Coast Fever
Cow,7,40.8,sweats,swelling in abdomen,blood in stool,Rift Valley Fever
Goat,5,41.9,shortness of breath,crackling sound,painful cough,CCPP
Cow,1,42.6,difficulty walking,swelling in limb,swelling in neck,East Coast Fever
Goat,4,41.6,chest discomfort,loss of appetite,shortness of breath,CCPP
Goat,1,41.4,chest discomfort,loss of appetite,painful cough,CCPP
Goat,1,41.6,fatigue,chest discomfort,loss of appetite,CCPP
Cow,8,42.5,blood in stool,mass abortion,jaundice,Rift Valley Fever
Cow,2,42.1,loss of appetite,fatigue,difficulty walking,East Coast Fever
Goat,7,42.3,extended neck,painful cough,crackling sound,CCPP
Goat,4,41.2,loss of appetite,extended neck,chest discomfort,CCPP
Goat,2,42.1,sweats,blood in stool,fatigue,Rift Valley Fever
Cow,5,41.7,swelling in neck,frothing at mouth,difficulty walking,East Coast Fever
Cow,6,41.8,difficulty walking,frothing at mouth,lacrimation,East Coast Fever
Goat,2,41.0,loss of appetite,shortness of breath,painful cough,CCPP
Cow,8,43.0,frothing at mouth,difficulty walking,swelling in limb,East Coast Fever
Goat,4,41.9,fatigue,foul diarrhea,matted eyes,PPR
Goat,1,41.9,extended neck,crackling sound,loss of appetite,CCPP
Goat,5,41.8,chest discomfort,loss of appetite,painful cough,CCPP
Sheep,5,41.0,fatigue,sweats,swelling in abdomen,Rift Valley Fever
Goat,7,42.1,crackling sound,painful cough,extended neck,CCPP
Poultry,2,43.8,chills,sudden death,depression,Newcastle Disease
Sheep,3,42.0,foul diarrhea,sores on mouth,fatigue,PPR
Poultry,3,43.8,chills,difficulty walking,greenish diarrhea,Newcastle Disease
Cow,6,41.8,frothing at mouth,loss of appetite,fatigue,East Coast Fever
Cow,8,43.1,fatigue,swelling in limb,swelling in neck,East Coast Fever
Poultry,7,43.2,chills,sudden death,difficulty walking,Newcastle Disease
Cow,6,42.7,lacrimation,frothing at mouth,swelling in limb,East Coast Fever
Cow,7,41.5,swelling in abdomen,chills,fatigue,Rift Valley Fever
Sheep,8,41.3,fatigue,jaundice,chills,Rift Valley Fever
Goat,3,41.2,painful cough,shortness of breath,chest discomfort,CCPP
Cow,7,42.0,swelling in limb,difficulty walking,frothing at mouth,East Coast Fever
Cow,2,41.4,sweats,mass abortion,chills,Rift Valley Fever
Goat,8,41.8,extended neck,shortness of breath,crackling sound,CCPP
Goat,1,41.4,sores on gums,fatigue,sores on tongue,PPR
Cow,6,42.1,frothing at mouth,swelling in limb,difficulty walking,East Coast Fever
Sheep,6,41.2,fatigue,chills,sweats,Rift Valley Fever
Poultry,2,44.9,fatigue,greenish diarrhea,depression,Newcastle Disease
Sheep,6,41.3,fatigue,blood in stool,sweats,Rift Valley Fever
Cow,4,42.3,swelling in neck,difficulty walking,swelling in limb,East Coast Fever
Goat,3,42.0,crackling sound,loss of appetite,fatigue,CCPP
Goat,6,41.0,loss of appetite,painful cough,fatigue,CCPP
Cow,4,41.2,swelling in neck,swelling in limb,difficulty walking,East Coast Fever
Poultry,4,44.3,chills,sudden death,fatigue,Newcastle Disease
Poultry,3,43.3,chills,twisted neck,greenish diarrhea,Newcastle Disease
Poultry,1,44.3,chills,sudden death,depression,Newcastle Disease
Goat,7,41.7,foul diarrhea,sores on tongue,loss of appetite,PPR
Poultry,6,43.2,fatigue,chills,greenish diarrhea,Newcastle Disease
Cow,8,42.4,fatigue,lacrimation,swelling in neck,East Coast Fever
Goat,2,41.1,shortness of breath,fatigue,chest discomfort,CCPP
Cow,8,41.5,fatigue,chills,blood in stool,Rift Valley Fever
Goat,7,41.9,crackling sound,extended neck,shortness of breath,CCPP
Cow,8,42.8,lacrimation,difficulty walking,fatigue,East Coast Fever
Cow,4,42.6,fatigue,swelling in neck,lacrimation,East Coast Fever
Goat,4,40.8,loss of appetite,crackling sound,shortness of breath,CCPP
Cow,2,42.5,frothing at mouth,loss of appetite,fatigue,East Coast Fever
Cow,6,41.9,swelling in limb,frothing at mouth,loss of appetite,East Coast Fever
Cow,8,42.5,swelling in limb,frothing at mouth,difficulty walking,East Coast Fever
Poultry,8,44.1,greenish diarrhea,twisted neck,difficulty walking,Newcastle Disease
Poultry,1,43.9,greenish diarrhea,fatigue,depression,Newcastle Disease
Cow,1,42.4,swelling in neck,frothing at mouth,fatigue,East Coast Fever
Goat,1,41.8,shortness of breath,fatigue,chest discomfort,CCPP
Cow,5,42.4,fatigue,loss of appetite,lacrimation,East Coast Fever
Sheep,8,41.1,sores on mouth,foul diarrhea,sores on gums,PPR
Sheep,3,41.7,swelling in abdomen,chills,mass abortion,Rift Valley Fever
Poultry,2,44.0,greenish diarrhea,fatigue,difficulty walking,Newcastle Disease
Goat,4,41.5,sores on gums,foul diarrhea,sores on tongue,PPR
Sheep,1,41.3,fatigue,loss of appetite,sores on gums,PPR
Goat,7,41.9,sores on gums,foul diarrhea,fatigue,PPR
Cow,5,41.1,mass abortion,fatigue,sweats,Rift Valley Fever
Goat,3,41.8,chest discomfort,fatigue,loss of appetite,CCPP
Cow,7,41.7,difficulty walking,swelling in neck,loss of appetite,East Coast Fever
Cow,1,42.4,swelling in limb,lacrimation,difficulty walking,East Coast Fever
Sheep,2,40.9,fatigue,sores on tongue,sores on mouth,PPR
Cow,8,42.5,swelling in neck,swelling in limb,difficulty walking,East Coast Fever
Poultry,7,44.0,twisted neck,fatigue,greenish diarrhea,Newcastle Disease
Goat,5,41.8,chest discomfort,shortness of breath,painful cough,CCPP
Goat,1,40.8,sores on tongue,sores on gums,loss of appetite,PPR
Cow,7,41.7,swelling in limb,fatigue,difficulty walking,East Coast Fever
Cow,4,41.7,frothing at mouth,loss of appetite,difficulty walking,East Coast Fever
Poultry,8,42.7,greenish diarrhea,sudden death,fatigue,Newcastle Disease
Poultry,2,43.6,fatigue,sudden death,depression,Newcastle Disease
Goat,2,41.9,sores on mouth,matted eyes,loss of appetite,PPR
Sheep,4,41.7,blood in stool,sweats,fatigue,Rift Valley Fever
Goat,4,41.7,sores on mouth,foul diarrhea,fatigue,PPR
Cow,8,41.7,swelling in neck,lacrimation,swelling in limb,East Coast Fever
Poultry,7,44.8,twisted neck,difficulty walking,chills,Newcastle Disease
Poultry,3,43.7,twisted neck,fatigue,sudden death,Newcastle Disease
Poultry,2,42.9,depression,greenish diarrhea,twisted neck,Newcastle Disease
Poultry,7,44.4,greenish diarrhea,depression,fatigue,Newcastle Disease
Goat,4,42.0,extended neck,painful cough,chest discomfort,CCPP
Goat,3,41.2,mass abortion,sweats,fatigue,Rift Valley Fever
Poultry,7,43.8,fatigue,twisted neck,depression,Newcastle Disease
Poultry,7,43.3,depression,sudden death,difficulty walking,Newcastle Disease
Sheep,7,41.3,fatigue,mass abortion,blood in stool,Rift Valley Fever
Cow,7,42.3,difficulty walking,loss of appetite,frothing at mouth,East Coast Fever
Cow,8,41.3,blood in stool,fatigue,mass abortion,Rift Valley Fever
Sheep,5,40.6,loss of appetite,sores on gums,matted eyes,PPR
Poultry,5,43.5,chills,depression,fatigue,Newcastle Disease
Cow,6,42.4,swelling in limb,difficulty walking,loss of appetite,East Coast Fever
Sheep,6,41.6,fatigue,foul diarrhea,matted eyes,PPR
Sheep,1,41.0,fatigue,matted eyes,sores on gums,PPR
Poultry,3,42.6,fatigue,difficulty walking,chills,Newcastle Disease
Goat,2,41.6,matted eyes,sores on mouth,fatigue,PPR
Goat,2,41.5,loss of appetite,extended neck,crackling sound,CCPP
Poultry,8,43.4,difficulty walking,depression,fatigue,Newcastle Disease
Cow,4,42.6,difficulty walking,lacrimation,loss of appetite,East Coast Fever
Poultry,2,43.5,fatigue,difficulty walking,depression,Newcastle Disease
Goat,8,41.4,fatigue,matted eyes,sores on mouth,PPR
Cow,8,42.4,swelling in limb,frothing at mouth,swelling in neck,East Coast Fever
Cow,8,41.2,blood in stool,jaundice,fatigue,Rift Valley Fever
Sheep,3,41.4,chills,swelling in abdomen,sweats,Rift Valley Fever
Goat,6,41.4,mass abortion,swelling in abdomen,jaundice,Rift Valley Fever
Goat,6,41.3,loss of appetite,crackling sound,extended neck,CCPP
Poultry,5,43.1,greenish diarrhea,fatigue,twisted neck,Newcastle Disease
Goat,2,41.8,fatigue,extended neck,shortness of breath,CCPP
Poultry,5,42.3,sudden death,twisted neck,difficulty walking,Newcastle Disease
Goat,7,41.6,extended neck,shortness of breath,crackling sound,CCPP
Sheep,4,41.0,sores on mouth,foul diarrhea,sores on tongue,PPR
Goat,6,41.8,painful cough,crackling sound,loss of appetite,CCPP
Cow,2,41.5,mass abortion,jaundice,chills,Rift Valley Fever
Goat,2,41.3,foul diarrhea,matted eyes,sores on gums,PPR
Goat,7,41.4,chills,blood in stool,mass abortion,Rift Valley Fever
Cow,8,42.2,loss of appetite,fatigue,swelling in limb,East Coast Fever
Cow,3,42.6,loss of appetite,swelling in limb,swelling in neck,East Coast Fever
Poultry,8,43.4,greenish diarrhea,chills,twisted neck,Newcastle Disease
Sheep,6,42.1,blood in stool,chills,mass abortion,Rift Valley Fever
Poultry,4,43.9,fatigue,depression,greenish diarrhea,Newcastle Disease
Goat,7,41.8,fatigue,blood in stool,jaundice,Rift Valley Fever
Goat,2,41.4,chest discomfort,fatigue,crackling sound,CCPP
Sheep,8,41.3,sores on tongue,fatigue,sores on gums,PPR
Goat,1,41.5,shortness of breath,extended neck,fatigue,CCPP
Cow,5,41.5,swelling in limb,loss of appetite,lacrimation,East Coast Fever
Poultry,4,44.1,greenish diarrhea,sudden death,chills,Newcastle Disease
Goat,5,42.0,crackling sound,shortness of breath,fatigue,CCPP
Cow,6,41.6,fatigue,chills,jaundice,Rift Valley Fever
Goat,3,41.4,fatigue,chest discomfort,extended neck,CCPP
Cow,8,41.8,lacrimation,swelling in neck,swelling in limb,East Coast Fever
Goat,4,41.4,shortness of breath,fatigue,painful cough,CCPP
Cow,1,40.9,fatigue,sweats,blood in stool,Rift Valley Fever
Goat,6,41.8,blood in stool,swelling in abdomen,jaundice,Rift Valley Fever
Cow,4,42.0,loss of appetite,difficulty walking,fatigue,East Coast Fever
Goat,2,40.7,loss of appetite,fatigue,extended neck,CCPP
